id,name,address,regionDepth1,regionDepth2,lat,lng,hallType,subTypes_json,mealCost,mealCostMin,mealCostMax,guarantee,guaranteeMin,guaranteeMax,interval,intervalMinutes,venueFee,rentalCostMin,rentalCostMax,phone,website,source_url,source
22,아모리스 역삼GS타워점,서울 강남구 논현로 508,,,37.5018311227065,127.037071682509,웨딩홀,[],"정가 기준 한식·양식 코스 100,000원~140,000원(아이웨딩), 블로그 견적 기준 스탠다드 100,000원·시그니처 110,000원(정가).",100000,140000,"타임별 상이. 11:30 예식 300명, 15:00·18:30 예식 250명(다른 후기에는 최소 보증 300명·토요일 점심 350명 언급).",250,350,약 3시간 30분,210,"정가 기준 홀 5,500,000원 + 필수 생화 꽃장식 6,600,000원 = 12,100,000원(프로모션·실제 견적은 소폭 할인되는 케이스).",5500000,6600000,02-2005-1010,,https://www.weddic.com/,weddic
23,셀럽앤어셈,서울 강남구 언주로 711,,,37.51746429849978,127.0346134867136,웨딩홀,[],"75,000원~97,000원(뷔페, 일부 채널 75,000원~95,000원/98,000원 표기, 음주류 5,000원 별도).",75000,97000,"최소 보증 300~330명(채널별 300명·330명 언급), 최대 수용 약 500명(좌석 기준 약 180~220석).",220,500,90분,90,"정가 13,500,000원(연출료·부가세·봉사료 포함, 생화 꽃장식 포함), 일부 프로모션 12,000,000원대·1,250만원~ 안내.",13500000,13500000,02-545-2222,http://www.fs-cna.com,https://www.weddic.com/,weddic
24,화목원 웨딩&레스토랑,제주특별자치도 제주시 연동 1343-1,,,33.4725991548031,126.488546257877,야외 웨딩홀,[],"웨딩 식대 1인 39,000원, 국그릇 기준 카운트(성게국, 돼지고기, 회, 소불고기, 찹쌀순대, 두부, 잡채, 버섯탕수, 기본찬, 떡, 과일 구성).",39000,39000,"야외 예식 260석, 실내 예식 100~150석 규모로 운영되나, 최소 보증인원에 대한 구체적인 수치 정보 부족.",150,260,정보 준비중,,"웨딩홀 대관료 1,000,000원.",1000000,,,,https://www.weddic.com/,weddic
25,메종글래드제주 웨딩홀,제주특별자치도 제주시 연동 263-15,,,33.4852312276515,126.488291261201,호텔 웨딩홀,[],"1인 40,000원대, 음료 별도, 삼다정이 아닌 별도 웨딩 뷔페 홀에서 식사 진행.",60000,60000,정확한 최소 보증 인원 수치는 온라인 공개 정보 부족(프로모션 안내에서는 보증 180명 기준 잔여타임 이벤트 언급).,250,250,정보 준비중,,,,,064-710-8222,https://www.instagram.com/maisonglad_wedding,https://www.weddic.com/,weddic
26,예식장꽃가마,제주특별자치도 제주시 일도이동 339-18,,,33.5053293392798,126.53587089296,웨딩홀,[],"200인 이상 식당 예약 시 예식장은 무료로 이용 가능하며, 한상차림 잔치음식(갈비탕·도가니탕 등) 한정식 메뉴를 제공하지만, 1인당 식대 금액에 대한 구체적인 수치는 정보 부족.",,,"피로연 또는 돌잔치 전문점으로 200인 이상 예약 시 예식장 무료 대관이라는 안내 외에, 결혼식 기준 최소 보증인원 수치 정보는 부족.",200,200,정보없음,,"200인 이상 식당 예약 시 예식장은 무료로 이용 가능하다는 안내가 전부이며, 단독 대관료 금액 및 시간당 요금 등 구체적인 대관료 정보는 부족.",200,,,,https://www.weddic.com/,weddic
27,소노벨제주 웨딩,제주특별자치도 제주시 조천읍 함덕리 274,,,33.5413424455076,126.671691677337,호텔 웨딩홀,[],"100명부터 예식 진행 가능(후기 기준), 상담 사례에서는 보증 300명 이상을 기본으로 보고 인원대별 식대·대관료를 차등 적용.",47000,47000,"100명부터 예식 진행 가능(후기 기준), 상담 사례에서는 보증 300명 이상을 기본으로 보고 인원대별 식대·대관료를 차등 적용.",300,1000,웨딩홀과 피로연장 건물이 다름,,계약금 300만 원,3000000,,064-780-5067,,https://www.weddic.com/,weddic
28,소노펠리체컨벤션,서울 강남구 테헤란로87길 22,,,37.50963369029075,127.0594588508868,컨벤션 웨딩홀,[],"양식 코스 1인 약 72,000원~110,000원 구간(스테이크 한상, 에피타이저 6종 + 스테이크 기본, 잔치국수·떡·전복 추가 시 1인당 5,000원 정도 인상). 주류·음료는 식대에 포함되지 않고 당일 소모량 계산.",72000,110000,"보증 350명 내외, 좌석은 230석 기준, 피로연장 좌석은 최대 500명까지 가능.",230,500,분리예식,120,"프로모션 기준 예식 금액 8,000,000원대부터(생화 꽃장식 포함) 안내되며, 플랫폼에 따라 “대관료 약 10,000,000원부터”라고도 소개되어 있어, 정확한 정가는 구체적인 정보 부족.",8000000,8500000,02-2222-7401,http://www.sonofeliceconvention.com/,https://www.weddic.com/,weddic
29,더휴웨딩홀,서울 강남구 테헤란로 407,,,37.50530419598647,127.0501022448462,웨딩홀,[],"75,000원~85,000원 (뷔페, 음주류 포함).",75000,85000,200~250명 (최대 수용 약 500~550명).,250,550,식간 간격 넓음,,"약 8,500,000원 (생화 꽃장식 포함, 웨딩북 정가 총액 25,500,000원~ 표기).",,,02-6188-0188,http://www.thehuewedding.com/,https://www.weddic.com/,weddic
30,브라이드밸리,서울 강남구 강남대로 262,,,37.4869583809585,127.033450616214,웨딩홀,[],"1인 약 85,000원 (프리미엄 뷔페, 음주류·연출료·부가세 포함 표기).",85000,85000,약 250명 (최대 약 600명 수용 가능).,250,600,90분,90,"약 8,500,000원 (연출료·세금 포함, 생화 꽃장식 포함 케이스 안내).",8500000,,02-2058-0406,http://www.bridevalley.co.kr/,https://www.weddic.com/,weddic
31,호텔하니크라운 웨딩프라자,제주특별자치도 제주시 이도일동 1315,,,33.5049665518417,126.527667785912,호텔 웨딩홀,[],"성게국·갈비탕 구성의 한상차림 1인 32,000원, 광어회·돼지고기·순대 등 포함, 주류 및 음료 포함.",32000,32000,"홀 수용 인원 104명 기준, 최소 보증 인원 구체 수치는 정보 부족.",104,104,정보 준비중,,"1,000,000원(앨범 촬영 등 특전 포함).",1000000,,,,https://www.weddic.com/,weddic
32,제주파라다이스 웨딩홀,제주특별자치도 제주시 이도일동 1691-10,,,33.505391140305,126.527179029202,웨딩홀,[],"한상차림(제주 잔치 음식) 기준 성게국·갈비탕 32,000원, 광어회·돼지고기·순대 등 포함, 주류 및 음료 포함.",32000,32000,"보증 인원에 따라 피로연 룸 배정 규모가 달라지며, 최소·최대 보증 인원에 대한 구체적인 수치 정보는 부족.",220,220,60분,60,"대관료 1,000,000원(앨범 촬영 등 특전 포함) 안내.",1000000,,064-725-2011,http://www.jejuparadise.co.kr/,https://www.weddic.com/,weddic
33,애플컨벤션,제주특별자치도 서귀포시 서홍동 1346,,,33.2539834882088,126.5494979487646,컨벤션 웨딩홀,[],"뷔페식 제공, 구체적인 1인 식대 금액 정보 부족(제주 웨딩홀 투어 비교 글에서 “단독홀·대관료 200만 원·보증 250명·식대 60,000원(주류·음료 불포함)”이라 언급되지만, 특정일 기준 비공식 정보라 현재 정확 금액으로 보기에는 한계).",,,"뷔페식 제공, 구체적인 1인 식대 금액 정보 부족(제주 웨딩홀 투어 비교 글에서 “단독홀·대관료 200만 원·보증 250명·식대 60,000원(주류·음료 불포함)”이라 언급되지만, 특정일 기준 비공식 정보라 현재 정확 금액으로 보기에는 한계).",250,250,정보 준비중,,"단독홀 기준 대관료 2,000,000원(비교 글 언급)이라는 내용 외에, 공식 표기된 대관료 정가·할인가 등 구체적인 수치 정보 부족.",2000000,,,,https://www.weddic.com/,weddic
34,서귀포농협웨딩홀,제주특별자치도 서귀포시 토평동 880-1,,,33.25737236406774,126.5800551234835,웨딩홀,[],구체적인 1인 식대 금액 정보 부족.,,,"최대 300명 규모 대연회장으로 소개되나, 최소 보증인원에 대한 구체적인 수치 정보 부족.",300,300,정보 준비중,,"농협 조합원일 경우 대관료 할인 혜택이 있다는 후기만 있으며, 정가·할인 후 금액 등 구체적인 대관료 수치 정보 부족.",,,064-767-5101,,https://www.weddic.com/,weddic
35,메리스에이프럴,서울 강남구 봉은사로16길 31,,,37.5042804795318,127.029129025432,웨딩홀,[],"55,000원~70,000원 (뷔페, BASIC/PREMIUM 등 구분).",55000,70000,"50~150명 (토·일요일 60~100명, 최대 250명).",100,250,정보 준비중,,300만원 (당일계약 시 50~75% 할인 적용 가능).,300,300,02-514-3676,http://www.marysapril.co.kr,https://www.weddic.com/,weddic
36,더클래스 청담,서울 강남구 압구정로60길 17-5,,,37.5261600757218,127.042301232111,웨딩홀,[],"48,000원~129,000원 (뷔페·양식 코스, 일부 채널 기준 77,000원~129,000원, 음주류·연출료·부가세·봉사료 포함 표기).",48000,129000,"최소 100명~200명 구간 언급, 최대 300명(최대 350명까지 응대 가능 표기).",100,350,정보 준비중,,"약 6,000,000원 (정가 기준, 꽃장식·연출 별도 / 웨딩북 정가 25,900,000원~·29,500,000원~ 표기는 식사·연출 포함 패키지 총액).",,,02-516-3636,http://theclasscheongdam.com/,https://www.weddic.com/,weddic
37,포시즌앤강남 공우이엔씨웨딩,서울 강남구 남부순환로 2806,,,37.4889227211267,127.052805051623,웨딩홀,[],"1인 37,950원~66,000원 (뷔페, 메뉴 구성 따라 단가 구간 제공).",37950,66000,"최소 300명, 최대 수용 약 650명(착석 약 220명 기준 운영).",220,650,약 80분 단위,80,"약 7,000,000원 (연출료·꽃장식 포함 여부는 플랜별 상이, 별도 확인 필요).",7000000,7000000,02-2190-2271,http://www.fourseasonand.com/,https://www.weddic.com/,weddic
38,노블컨벤션&웨딩홀,제주특별자치도 서귀포시 서홍동 311-3,,,33.2593420827219,126.558863021265,컨벤션 웨딩홀,[],구체적인 1인 식대 금액 정보 부족(연회장 1층에서 피로연 식사 진행).,,,"예식홀 약 100석 규모(신랑측·신부측 각 50석 정도)로, 최소·최대 보증 인원에 대한 정확한 수치 정보 부족.",50,100,10분 간격,,대관료 및 패키지 요금에 대한 구체적인 금액 정보 부족.,,,064-762-2233,http://www.noblevalenti.co.kr,https://www.weddic.com/,weddic
39,디민,제주특별자치도 서귀포시 대정읍 무릉리 1865-11,,,33.2850221754209,126.22232012936,웨딩홀,[],구체적인 1인 식대 금액 정보 부족(외부 케이터링 또는 패키지 상담).,,,신랑신부 포함 20인 이하만 가능.,20,20,하루 2회 (오전/오후),300,"패키지 상품 기준 안내, 기본 제공 기물 포함하나 구체 금액은 상담 기반(웨딩 패키지 페이지 참조).",,,010-2806-1865,https://diminjeju.com/,https://www.weddic.com/,weddic
40,서귀포칼호텔 예식장,제주특별자치도 서귀포시 토평동 486-3,,,33.2464846553337,126.581774697403,호텔 웨딩홀,[],"스몰웨딩 패키지 기준 1인 120,000원(30인 이상 식사 진행 시), 한식·양식·뷔페 중 선택 가능.",120000,120000,"야외 가든 스몰웨딩은 9명·20명·30명 등 소규모 예식도 가능, 일반 호텔 웨딩은 지역 웨딩 비교 글에서 보증인원 500명, 동시 300명 수용으로 소개.",,500,분리예식 (본식 후 호텔 내 식사장소 이동),,대관료 150만원 (30인 이상 면제),1500000,,064-730-9797,http://seogwipo.kalhotel.co.kr/ko/wedding/,https://www.weddic.com/,weddic
41,토브헤세드,서울 강남구 도산대로38길 32,,,37.5185946906307,127.0327407801872,웨딩홀,[],"성수기 89,000원 (뷔페, 음주류 포함), 비수기 82,000원.",89000,89000,"성수기 200명, 비수기 180명 (최대 250~300명).",180,300,정보 준비중,,"성수기 7,500,000원, 비수기 4,900,000원 (꽃장식 별도 5,900,000원~).",4900000,7500000,02-516-2300,https://tovhesed.com/,https://www.weddic.com/,weddic
42,드메르웨딩홀,광주 광산구 도천동 147-29,,,35.2080498627941,126.8217920734825,웨딩홀,[],"홀별 2,500,000~3,500,000원(Le Vian/CN 350만원, Le Ciel/Bailey 250만원, 식대 포함 총액 변동 가능).",69000,69000,"홀별 160~250석(Le Vian/CN 250명, Le Ciel 160명, Bailey 180명, 지불보증인원 미달 시 차액 청구).",160,250,식 간격이 짧은편,,"홀별 2,500,000~3,500,000원(Le Vian/CN 350만원, Le Ciel/Bailey 250만원, 식대 포함 총액 변동 가능).",3500000,3500000,062-228-0000,https://blog.naver.com/cn_demer-wedding,https://www.weddic.com/,weddic
43,스카이컨벤션웨딩,강원특별자치도 춘천시 동면 장학리 684,,,37.90716087291695,127.7535275265036,컨벤션 웨딩홀,[],정보 준비중,55000,55000,정보 준비중,200,500,정보 준비중,,,4000000,,033-254-1000,http://www.skyconvention.co.kr/,https://www.weddic.com/,weddic
44,빌라드아모르,강원특별자치도 원주시 태장동 1914,,,37.40022632046999,127.9542369102928,호텔 웨딩홀,[],"3,000,000원(블로그 후기 기준, 식대 45,000원·대관료 300만 원 언급).",54000,54000,"최소 200명, 최대 수용 인원 500명.",200,500,정보 준비중,,"3,000,000원(블로그 후기 기준, 식대 45,000원·대관료 300만 원 언급).",3000000,3000000,033-746-1400,http://www.amorwedding.co.kr/,https://www.weddic.com/,weddic
45,미래컨벤션센타웨딩홀,강원특별자치도 춘천시 퇴계동 406-34,,,37.86072298780478,127.7327590509887,컨벤션 웨딩홀,[],정보 준비중,55000,55000,정보 준비중,200,200,정보 준비중,,,3500000,,033-262-1300,http://mrcc.co.kr,https://www.weddic.com/,weddic
46,아모르하우스,서울 강남구 테헤란로13길 33,,,37.5017318058335,127.031579874814,웨딩홀,[],"41,800~70,000원 (뷔페, 음주류 포함).",41800,70000,"최소 50~100명, 최대 150~200명 (80명 미만 1층 데이지홀).",80,200,"하루 2타임 (1시, 6시)",180,"200만원~ (단독 200~400만원, 80명 미만 30~50만원).",200,400,02-562-6936,http://www.amorehouse.co.kr/,https://www.weddic.com/,weddic
47,라플레이스,서울 강남구 테헤란로 424,,,37.5054901294969,127.05346816232,웨딩홀,[],"64,000원~80,000원 (양식 코스 또는 뷔페, 연출료·부가세·봉사료 포함).",64000,80000,70~80명 (최대 수용 180~200명).,80,200,정보없음,180,"7,500,000원~ (연출료 포함, 꽃장식 별도 280만원~).",7500000,7500000,02-6339-0466,http://www.la-place.co.kr/,https://www.weddic.com/,weddic
48,세인트컨벤션웨딩,강원특별자치도 강릉시 남항진동 47,,,37.76510938428583,128.949676350107,컨벤션 웨딩홀,[],정보 준비중,55000,57000,정보 준비중,200,500,정보 준비중,,,,,033-653-6633,https://saintmeriel.co.kr/,https://www.weddic.com/,weddic
49,오페라웨딩컨벤션,강원특별자치도 원주시 판부면 서곡리 444-2,,,37.3205824374433,127.938869722102,컨벤션 웨딩홀,[],1인 2만~3만원대(뷔페 기준 피로연 가격대).,20000,30000,100명 이하.,100,100,정보 준비중,,웨딩홀 사용료(홀이용료): 생화장식 포함,,,033-764-9002,https://www.instagram.com/opweddinghall/,https://www.weddic.com/,weddic
50,베로나지디,강원특별자치도 원주시 행구동 53-1,,,37.34611835256253,128.0134658861164,웨딩홀,[],"원주 최고 수준(구체 수치 미공개, 상담 필요).",,,"최소 100명, 홀 최대 착석 144명(초과 시 연회장 이용).",100,144,정보 준비중,,"원주 최고 수준(구체 수치 미공개, 상담 필요).",,,033-742-6900,http://veronagd.kr/,https://www.weddic.com/,weddic
51,원주웨딩타운,강원특별자치도 원주시 단계동 1113-2,,,37.3496462114165,127.928220956001,웨딩홀,[],정보 준비중,30000,40000,정보 준비중,200,250,정보 준비중,,,0,,033-747-9977,https://www.instagram.com/wjwedding_town/,https://www.weddic.com/,weddic
52,그랜드인터컨티넨탈호텔웨딩홀,서울 강남구 테헤란로 521,,,37.5092058708668,127.060917546587,호텔 웨딩홀,[],"150,000~250,000원 (한식·양식·중식 코스).",150000,250000,그랜드 볼룸 최대 940명 (최소 20명).,20,940,360분,360,"그랜드 볼룸 연출료 5,500,000원 (대관 별도 문의).",5500000,8800000,,,https://www.weddic.com/,weddic
53,조선팰리스 웨딩홀,서울 강남구 테헤란로 231,,,37.5028811740951,127.041356200887,호텔 웨딩홀,[],"200,000~250,000원 (양식·퓨전 코스, 부가세·봉사료 포함).",200000,250000,"더그레이트 홀 240명, 로얄 챔버 80명 (최소 50명).",50,240,1부 어두운 예식 후 2부 밝은 예식 및 식사,180,"더그레이트 홀 5,500,000원, 로얄 챔버 2,200,000원.",2200000,5500000,,,https://www.weddic.com/,weddic
54,슈슈몽드,서울 강남구 도산대로38길 30,,,37.51885062585898,127.0325587719355,야외 웨딩홀,[],"88,000~165,000원 (뷔페/양식 코스).",88000,165000,"최소 30명, 최대 150명.",30,150,정보 준비중,,"5,500,000원 (연출료 1,650,000원, 꽃장식 3,300,000원 별도).",5500000,5500000,031-8027-0055,https://blog.naver.com/cc7207,https://www.weddic.com/,weddic
55,지오컨벤션,강원특별자치도 원주시 지정면 판대리 355-3,,,37.3937543543402,127.789011380659,컨벤션 웨딩홀,[],구체적인 정보 부족.,50000,70000,최소 100명.,100,100,예식간격 넓음,,구체적인 정보 부족.,7500000,10000000,,https://goconv.mycafe24.com/,https://www.weddic.com/,weddic
56,K컨벤션웨딩홀,강원특별자치도 홍천군 홍천읍 신장대리 63-3,,,37.6881467560229,127.884404412445,컨벤션 웨딩홀,[],정보 준비중,30000,40000,정보 준비중,100,200,정보 준비중,,,1000000,1200000,033-432-1988,https://blog.naver.com/k4321988,https://www.weddic.com/,weddic
57,더테라리움 춘천,강원특별자치도 춘천시 퇴계동 1017,,,37.8504915422153,127.743751679999,야외 웨딩홀,[],정보 준비중,68000,68000,정보 준비중,200,200,정보 준비중,,,5500000,5500000,033-269-7000,http://www.theterrarium.co.kr/,https://www.weddic.com/,weddic
58,호텔인터불고원주 웨딩홀,강원특별자치도 원주시 반곡동 1809-1,,,37.33275462021575,127.9744545294877,호텔 웨딩홀,[],"온라인에 구체 금액 공개 없음(식대·연출비 중심 상담 구조, 연출비 200만 원 별도 언급).",55000,55000,"최소 보증 인원 200명, 최대 수용 인원 500명.",200,500,정보 준비중,,"온라인에 구체 금액 공개 없음(식대·연출비 중심 상담 구조, 연출비 200만 원 별도 언급).",200,,033-769-8131,https://www.instagram.com/interburgo_wonju_wedding,https://www.weddic.com/,weddic
59,디렉팅웨딩CM,서울 강남구 도산대로 150,,,37.5180433621437,127.025021446023,야외 웨딩홀,[],"98,000원 (양식 스테이크 & 세미 뷔페, 부가세 포함).",98000,98000,"최소보증인원 150명, 기본 200명 이상",300,300,3시간,180,"12,000,000원 (디렉팅·연출비 포함).",12000000,12000000,02-515-6755,https://디렉팅웨딩cm.com,https://www.weddic.com/,weddic
60,더라빌,서울 강남구 봉은사로 531,,,37.51445598194343,127.055515088012,호텔 웨딩홀,[],"87,000원~130,000원 (한식/양식 코스).",87000,130000,"그랜드볼룸 400명, 토파즈 500명 (최소 기준).",400,500,120분 예식,120,800만원 (연출료 100만원 별도).,,,02-541-8000,http://thelaville.com/,https://www.weddic.com/,weddic
61,삼정호텔 아도니스홀,서울 강남구 봉은사로 150,,,37.5058693427478,127.031129223718,호텔 웨딩홀,[],"75,000~95,000원 (양식/한식 코스, 꽃장식·부가세·봉사료 포함).",75000,95000,토요일 기준 250명 (최소 보증).,250,250,정보없음,180,"9,900,000원 (연출료 770,000원 별도 포함 여부 확인).",9900000,9900000,02-557-0292,,https://www.weddic.com/,weddic
62,라카이샌드파인 컨벤션센터,강원특별자치도 강릉시 안현동 89-87,,,37.80666841084339,128.903752155884,컨벤션 웨딩홀,[],정보 준비중,60000,100000,정보 준비중,50,550,정보 준비중,,,,,,,https://www.weddic.com/,weddic
63,쏠비치삼척 웨딩,강원특별자치도 삼척시 갈천동 225,,,37.47142654750437,129.1640961838813,웨딩홀,[],"150~199명 42,000원, 200~299명 40,000원, 300명 이상 35,000원(음주류 포함).",35000,42000,"150~199명 42,000원, 200~299명 40,000원, 300명 이상 35,000원(음주류 포함).",199,300,정보없음,90,"150~299명 1,000,000원, 300명 이상 무료.",150,299,033-803-7511,,https://www.weddic.com/,weddic
64,스프링필드,강원특별자치도 강릉시 난곡동 460-2,,,37.79378717715816,128.8657667073403,웨딩홀,[],정보 준비중,,,정보 준비중,200,200,정보 준비중,,,3810000,,033-641-8818,,https://www.weddic.com/,weddic
65,태봉웨딩홀,강원특별자치도 철원군 서면 와수리 1133-72,,,38.2347595952086,127.4369749637832,웨딩홀,[],구체적인 정보 부족.,,,구체적인 정보 부족.,,,"1부 11:30~14:00, 2부 17:00~19:30",210,구체적인 정보 부족.,,,033-458-3441,https://www.instagram.com/taebongwedding1996,https://www.weddic.com/,weddic
66,까사그랑데 센트로,서울 광진구 능동로 87,,,37.5391719810202,127.0696543695598,웨딩홀,[],"1인 110,000원(뷔페, 연출료·부가세·봉사료 포함).",110000,110000,"최소 보증 180~250명, 최대 수용 200명.",200,250,90분,90,"12,000,000원~13,000,000원(생화 꽃장식 포함).",12000000,13000000,02-467-1002,http://www.casagrande.co.kr,https://www.weddic.com/,weddic
67,하우스오브더라움,서울 광진구 능동로 81,,,37.53823513590412,127.0693231079396,웨딩홀,[],"1인 110,000원(뷔페, 연출료·부가세·봉사료 포함).",110000,110000,"홀별 상이(아마리스/벨루스 홀 최대 180석, 최소 보증은 별도 문의).",180,180,2시간,120,"12,000,000원(생화 꽃장식 포함).",12000000,10000000,02-6457-8100,https://houseoftheraum.co.kr/,https://www.weddic.com/,weddic
68,스타시티아트홀,서울 광진구 능동로 110,,,37.54087472047698,127.0714143248483,웨딩홀,[],"한식/세미뷔페 1인 85,000원(음주류 식대 포함).",85000,85000,"최소 보증 200~250명(요일·타임별 상이), 최대 수용 600~700명.",250,700,70분,70,"6,000,000원~8,000,000원 선(꽃장식/연출 포함), 프로모션 기준 9,000,000원~(생화 꽃장식 포함) 안내.",6000000,8000000,02-430-8000,http://www.starcityarthall.com/,https://www.weddic.com/,weddic
